@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-16,20-33,35-50,53-55,57-61,65-68-weka.filters.unsupervised.attribute.Reorder-R1,7,3,9,8,6,2,10,4,5,11'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
2064,0,610,1283,0.32224,1,0.771877,1,0.228123,0.871254,0.675764,1.479806,0.000001
2064,0,607,1286,0.320655,1,0.772744,1,0.227256,0.871806,0.675006,1.481468,0.000001
2064,0,605,1288,0.319599,1,0.773323,1,0.226677,0.872174,0.674501,1.482578,0.000001
2064,0,541,1352,0.28579,1,0.792322,1,0.207678,0.884129,0.658327,1.519002,0.000001
2064,0,540,1353,0.285261,1,0.792627,1,0.207373,0.884319,0.658074,1.519585,0.000001
2064,0,491,1402,0.259377,1,0.807828,1,0.192172,0.8937,0.645691,1.548728,0.000001
2064,0,445,1448,0.235077,1,0.822639,1,0.177361,0.90269,0.634066,1.577122,0.000001
2064,0,405,1488,0.213946,1,0.835966,1,0.164034,0.910655,0.623958,1.602673,0.000001
2064,0,404,1489,0.213418,1,0.836305,1,0.163695,0.910856,0.623705,1.603323,0.000002
2064,0,403,1490,0.21289,1,0.836644,1,0.163356,0.911057,0.623452,1.603972,0.000002
2064,0,377,1516,0.199155,1,0.845555,1,0.154445,0.916315,0.616881,1.621057,0.000002
2064,0,352,1541,0.185948,1,0.854305,1,0.145695,0.921429,0.610564,1.637831,0.000002
2064,0,317,1576,0.167459,1,0.866863,1,0.133137,0.928684,0.601718,1.661907,0.000002
2064,0,292,1601,0.154253,1,0.876061,1,0.123939,0.933937,0.595401,1.679542,0.000002
2064,0,271,1622,0.143159,1,0.88394,1,0.11606,0.938395,0.590094,1.694647,0.000004
2064,0,259,1634,0.13682,1,0.888506,1,0.111494,0.940962,0.587061,1.703401,0.000005
2064,0,258,1635,0.136292,1,0.888889,1,0.111111,0.941176,0.586808,1.704134,0.000005
2064,0,242,1651,0.127839,1,0.895056,1,0.104944,0.944622,0.582765,1.715958,0.000006
2064,0,231,1662,0.122029,1,0.899346,1,0.100654,0.947006,0.579985,1.724183,0.000007
2064,0,213,1680,0.11252,1,0.906456,1,0.093544,0.950933,0.575436,1.737813,0.000008
2064,0,201,1692,0.106181,1,0.911258,1,0.088742,0.953569,0.572403,1.74702,0.000009
2064,0,197,1696,0.104068,1,0.91287,1,0.08713,0.954451,0.571392,1.750111,0.00001
2064,0,194,1699,0.102483,1,0.914083,1,0.085917,0.955113,0.570634,1.752436,0.000012
2064,0,193,1700,0.101955,1,0.914488,1,0.085512,0.955334,0.570382,1.753212,0.000014
2064,0,185,1708,0.097728,1,0.917741,1,0.082259,0.957106,0.56836,1.759449,0.000016
2064,0,181,1712,0.095615,1,0.919376,1,0.080624,0.957995,0.567349,1.762584,0.000021
2064,0,178,1715,0.094031,1,0.920607,1,0.079393,0.958662,0.566591,1.764942,0.000025
2064,0,177,1716,0.093502,1,0.921017,1,0.078983,0.958885,0.566338,1.76573,0.000031
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.153849
2060,4,159,1734,0.083994,0.998062,0.928346,0.998062,0.071654,0.961943,0.560778,1.77978,0.26009
2015,49,2,1891,0.001057,0.97626,0.999008,0.97626,0.000992,0.987503,0.50973,1.91525,0.27193
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.999984
2012,52,0,1893,0,0.974806,1,0.974806,0,0.987242,0.508466,1.917151,1
1885,179,0,1893,0,0.913275,1,0.913275,0,0.954672,0.476371,1.917151,1
0,2064,0,1893,0,0,?,0,?,?,0,?,1.00001
