@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-5,7-16,20-33,35-51,53-55,57-61,65-68'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
2064,0,983,910,0.519282,1,0.677388,1,0.322612,0.80767,0.770028,1.298654,0
2064,0,974,919,0.514527,1,0.679394,1,0.320606,0.809094,0.767753,1.302502,0
2064,0,972,921,0.513471,1,0.679842,1,0.320158,0.809412,0.767248,1.30336,0
2064,0,858,1035,0.453249,1,0.706366,1,0.293634,0.827918,0.738438,1.354209,0
2064,0,787,1106,0.415742,1,0.723957,1,0.276043,0.839878,0.720495,1.387934,0
2064,0,773,1120,0.408347,1,0.727529,1,0.272471,0.842277,0.716957,1.394783,0
2064,0,757,1136,0.399894,1,0.731655,1,0.268345,0.845036,0.712914,1.402694,0
2064,0,753,1140,0.397781,1,0.732694,1,0.267306,0.845728,0.711903,1.404686,0
2064,0,751,1142,0.396725,1,0.733215,1,0.266785,0.846075,0.711398,1.405684,0
2064,0,750,1143,0.396197,1,0.733475,1,0.266525,0.846248,0.711145,1.406183,0
2064,0,749,1144,0.395668,1,0.733736,1,0.266264,0.846422,0.710892,1.406683,0
2064,0,748,1145,0.39514,1,0.733997,1,0.266003,0.846596,0.710639,1.407183,0
2064,0,747,1146,0.394612,1,0.734258,1,0.265742,0.846769,0.710387,1.407684,0
2064,0,745,1148,0.393555,1,0.734781,1,0.265219,0.847117,0.709881,1.408686,0
2064,0,742,1151,0.39197,1,0.735567,1,0.264433,0.847639,0.709123,1.410192,0
2064,0,733,1160,0.387216,1,0.737934,1,0.262066,0.849208,0.706849,1.41473,0
2064,0,727,1166,0.384046,1,0.73952,1,0.26048,0.850257,0.705332,1.417771,0
2064,0,724,1169,0.382462,1,0.740316,1,0.259684,0.850783,0.704574,1.419297,0
2064,0,722,1171,0.381405,1,0.740847,1,0.259153,0.851134,0.704069,1.420316,0
2064,0,689,1204,0.363973,1,0.749728,1,0.250272,0.856965,0.695729,1.437341,0
2064,0,683,1210,0.360803,1,0.751365,1,0.248635,0.858034,0.694213,1.440481,0
2064,0,517,1376,0.273111,1,0.79969,1,0.20031,0.888698,0.652262,1.533127,0
2064,0,318,1575,0.167987,1,0.866499,1,0.133501,0.928475,0.601971,1.661209,0
2064,0,306,1587,0.161648,1,0.870886,1,0.129114,0.930988,0.598939,1.66962,0
2064,0,193,1700,0.101955,1,0.914488,1,0.085512,0.955334,0.570382,1.753212,0
2064,0,178,1715,0.094031,1,0.920607,1,0.079393,0.958662,0.566591,1.764942,0
2064,0,177,1716,0.093502,1,0.921017,1,0.078983,0.958885,0.566338,1.76573,0
2064,0,176,1717,0.092974,1,0.921429,1,0.078571,0.959108,0.566085,1.766518,0.000001
2064,0,175,1718,0.092446,1,0.92184,1,0.07816,0.959331,0.565833,1.767307,0.000001
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.302538
2064,0,171,1722,0.090333,1,0.92349,1,0.07651,0.960223,0.564822,1.77047,0.36485
2064,0,170,1723,0.089805,1,0.923903,1,0.076097,0.960447,0.564569,1.771262,0.858669
2062,2,159,1734,0.083994,0.999031,0.928411,0.999031,0.071589,0.962427,0.561284,1.779904,0.890507
2062,2,156,1737,0.082409,0.999031,0.929666,0.999031,0.070334,0.963101,0.560526,1.782311,0.891667
2052,12,129,1764,0.068146,0.994186,0.940853,0.994186,0.059147,0.966784,0.551175,1.803757,0.89251
2037,27,90,1803,0.047544,0.986919,0.957687,0.986919,0.042313,0.972083,0.537528,1.836031,0.90729
2036,28,85,1808,0.044902,0.986434,0.959925,0.986434,0.040075,0.972999,0.536012,1.84032,0.908608
2035,29,85,1808,0.044902,0.98595,0.959906,0.98595,0.040094,0.972753,0.535759,1.840284,0.915041
2030,34,22,1871,0.011622,0.983527,0.989279,0.983527,0.010721,0.986395,0.518575,1.896597,0.923389
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.999982
2014,50,0,1893,0,0.975775,1,0.975775,0,0.987739,0.508971,1.917151,0.999982
2013,51,0,1893,0,0.975291,1,0.975291,0,0.987491,0.508719,1.917151,0.999983
2012,52,0,1893,0,0.974806,1,0.974806,0,0.987242,0.508466,1.917151,0.999999
1935,129,0,1893,0,0.9375,1,0.9375,0,0.967742,0.489007,1.917151,0.999999
1886,178,0,1893,0,0.91376,1,0.91376,0,0.954937,0.476624,1.917151,0.999999
1293,771,0,1893,0,0.626453,1,0.626453,0,0.770331,0.326763,1.917151,0.999999
723,1341,0,1893,0,0.350291,1,0.350291,0,0.518837,0.182714,1.917151,0.999999
660,1404,0,1893,0,0.319767,1,0.319767,0,0.484581,0.166793,1.917151,0.999999
653,1411,0,1893,0,0.316376,1,0.316376,0,0.480677,0.165024,1.917151,0.999999
117,1947,0,1893,0,0.056686,1,0.056686,0,0.10729,0.029568,1.917151,0.999999
0,2064,0,1893,0,0,?,0,?,?,0,?,1.000009
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,174,1719,0.091918,1,0.922252,1,0.077748,0.959554,0.56558,1.768097,0.008218
2064,0,173,1720,0.091389,1,0.922664,1,0.077336,0.959777,0.565327,1.768887,0.019479
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.03823
2064,0,171,1722,0.090333,1,0.92349,1,0.07651,0.960223,0.564822,1.77047,0.071861
2059,5,108,1785,0.057052,0.997578,0.950162,0.997578,0.049838,0.973292,0.547637,1.821603,0.136623
2059,5,107,1786,0.056524,0.997578,0.9506,0.997578,0.0494,0.973522,0.547384,1.822444,0.148787
2059,5,104,1789,0.054939,0.997578,0.951919,0.997578,0.048081,0.974213,0.546626,1.824972,0.240879
2057,7,93,1800,0.049128,0.996609,0.956744,0.996609,0.043256,0.97627,0.543341,1.834223,0.261537
2047,17,66,1827,0.034865,0.991764,0.968765,0.991764,0.031235,0.980129,0.53399,1.857269,0.322448
2032,32,27,1866,0.014263,0.984496,0.986887,0.984496,0.013113,0.98569,0.520344,1.892011,0.427641
2017,47,5,1888,0.002641,0.977229,0.997527,0.977229,0.002473,0.987274,0.510993,1.91241,0.436744
2016,48,0,1893,0,0.976744,1,0.976744,0,0.988235,0.509477,1.917151,0.674763
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.9
2014,50,0,1893,0,0.975775,1,0.975775,0,0.987739,0.508971,1.917151,0.98
2013,51,0,1893,0,0.975291,1,0.975291,0,0.987491,0.508719,1.917151,0.995476
2012,52,0,1893,0,0.974806,1,0.974806,0,0.987242,0.508466,1.917151,1
0,2064,0,1893,0,0,?,0,?,?,0,?,1.00001
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0.000006
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.000015
2064,0,171,1722,0.090333,1,0.92349,1,0.07651,0.960223,0.564822,1.77047,0.038766
2064,0,170,1723,0.089805,1,0.923903,1,0.076097,0.960447,0.564569,1.771262,0.068794
2059,5,107,1786,0.056524,0.997578,0.9506,0.997578,0.0494,0.973522,0.547384,1.822444,0.149554
2059,5,104,1789,0.054939,0.997578,0.951919,0.997578,0.048081,0.974213,0.546626,1.824972,0.203659
2057,7,93,1800,0.049128,0.996609,0.956744,0.996609,0.043256,0.97627,0.543341,1.834223,0.299029
2047,17,66,1827,0.034865,0.991764,0.968765,0.991764,0.031235,0.980129,0.53399,1.857269,0.353761
2032,32,27,1866,0.014263,0.984496,0.986887,0.984496,0.013113,0.98569,0.520344,1.892011,0.435026
2017,47,5,1888,0.002641,0.977229,0.997527,0.977229,0.002473,0.987274,0.510993,1.91241,0.442522
2016,48,0,1893,0,0.976744,1,0.976744,0,0.988235,0.509477,1.917151,0.646239
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.999994
0,2064,0,1893,0,0,?,0,?,?,0,?,1.000004
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,1891,2,0.998943,1,0.521871,1,0.478129,0.685828,0.999495,1.000506,0
2064,0,1890,3,0.998415,1,0.522003,1,0.477997,0.685942,0.999242,1.000759,0
2064,0,1888,5,0.997359,1,0.522267,1,0.477733,0.68617,0.998736,1.001265,0
2064,0,1885,8,0.995774,1,0.522664,1,0.477336,0.686513,0.997978,1.002026,0
2064,0,1884,9,0.995246,1,0.522796,1,0.477204,0.686627,0.997726,1.00228,0
2064,0,1883,10,0.994717,1,0.522929,1,0.477071,0.686741,0.997473,1.002534,0
